region,lat,lng
01,46.20574,5.2258
02,49.56667,3.61667
03,46.56667,3.33333
04,44.09252,6.23199
05,44.56667,6.08333
06,43.70313,7.26608
07,44.73333,4.6
08,49.76667,4.71667
09,42.96667,1.6
10,48.3,4.08333
11,43.21667,2.35
12,44.35258,2.57338
13,43.29695,5.38107
14,49.18585,-0.35912
15,44.91667,2.45
16,45.65,0.15
17,46.16667,-1.15
18,47.08333,2.4
19,45.26667,1.76667
21,47.31667,5.01667
22,48.51513,-2.76838
23,46.16667,1.86667
24,45.18333,0.71667
25,47.24878,6.01815
26,44.93333,4.9
27,49.02414,1.15082
28,48.44685,1.48925
29,48,-4.1
2A,41.91886,8.73812
2B,42.70278,9.45
30,43.83333,4.35
31,43.60426,1.44367
32,43.65,0.58333
33,44.84044,-0.5805
34,43.61092,3.87723
35,48.11198,-1.67429
36,46.81667,1.7
37,47.38333,0.68333
38,45.16667,5.71667
39,46.66667,5.55
40,43.89022,-0.49713
41,47.58333,1.33333
42,45.43389,4.39
43,45.04366,3.88523
44,47.21725,-1.55336
45,47.90289,1.90389
46,44.4491,1.43663
47,44.2,0.63333
48,44.51667,3.5
49,47.46667,-0.55
50,49.11624,-1.09031
51,48.95393,4.36724
52,48.11121,5.14134
53,48.06667,-0.76667
54,48.68439,6.18496
55,48.78333,5.16667
56,47.66667,-2.75
57,49.11911,6.17269
58,46.98956,3.159
59,50.63297,3.05858
60,49.43333,2.08333
61,48.43333,0.08333
62,50.29301,2.78186
63,45.77966,3.08628
64,43.3,-0.36667
65,43.23333,0.08333
66,42.69764,2.89541
67,48.58392,7.74553
68,48.08333,7.36667
69,45.74846,4.84671
70,47.63333,6.16667
71,46.3,4.83333
72,48,0.2
73,45.56667,5.93333
74,45.9,6.11667
75,48.85341,2.3488
76,49.44313,1.09932
77,48.53333,2.66667
78,48.8,2.13333
79,46.32313,-0.45877
80,49.9,2.3
81,43.9298,2.148
82,44.01667,1.35
83,43.12442,5.92836
84,43.94834,4.80892
85,46.66667,-1.43333
86,46.58333,0.33333
87,45.83153,1.25781
88,48.18333,6.45
89,47.8,3.56667
90,47.63333,6.86667
91,48.63333,2.45
92,48.89198,2.20675
93,48.9,2.45
94,48.78333,2.46667
95,49.05,2.1
